trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.2, 'e': 0.8816148467834161}",20,16,5.713944524925053,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.880733672597157}",25,0,-71.0855260069732,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.2, 'e': 0.8798533791446438}",20,0,-40.75907443511716,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.8789739655455832}",20,0,-206.88655933198035,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
130,False,"{'a': 0.2, 'e': 0.8780954309205613}",25,15,-29.2352492993599,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.8772177743910435}",20,0,-42.11004260217769,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.8763409950793732}",35,10,-172.24029521297314,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",1
133,False,"{'a': 0.2, 'e': 0.8754650921087711}",20,2,-123.7244205067023,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 1}",1
134,False,"{'a': 0.2, 'e': 0.874590064603334}",25,0,-57.78726079153858,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.8737159116880344}",25,0,-58.83871858880594,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.8728426324887193}",25,0,-108.50696100992202,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
137,False,"{'a': 0.2, 'e': 0.8719702261321094}",30,0,-119.99305728727742,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
138,False,"{'a': 0.2, 'e': 0.8710986917457983}",20,11,-11.908243825018356,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.8702280284582515}",35,9,-194.06060053534074,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 3}",1
140,False,"{'a': 0.2, 'e': 0.8693582353988059}",20,0,-50.14561422593424,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.2, 'e': 0.8684893116976679}",20,0,-50.04143127556427,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
142,False,"{'a': 0.2, 'e': 0.867621256485914}",20,0,-102.55785307743585,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
143,False,"{'a': 0.2, 'e': 0.8667540688954889}",20,0,-26.57775184716374,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
144,False,"{'a': 0.2, 'e': 0.865887748059205}",30,7,-37.639834530370464,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.2, 'e': 0.8650222931107413}",25,0,-74.38117638324252,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.8641577031846428}",20,11,-14.840559483989056,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.8632939774163194}",25,0,-113.0433604105703,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.2, 'e': 0.8624311149420455}",25,0,-205.9966053384588,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
149,False,"{'a': 0.2, 'e': 0.8615691148989583}",20,0,-64.58570783301096,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.2, 'e': 0.8607079764250578}",25,2,-74.54491203200993,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
151,False,"{'a': 0.2, 'e': 0.8598476986592055}",25,0,-109.51349633533563,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
152,False,"{'a': 0.2, 'e': 0.8589882807411234}",25,0,-145.87015346741586,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
153,False,"{'a': 0.2, 'e': 0.8581297218113938}",25,0,-118.43357939131988,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
154,False,"{'a': 0.2, 'e': 0.8572720210114575}",20,0,-36.507604740333576,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.8564151774836135}",20,0,-76.15257608762276,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.2, 'e': 0.8555591903710185}",25,0,-112.05562286583888,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
157,False,"{'a': 0.2, 'e': 0.8547040588176851}",30,0,-77.06135572263202,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.2, 'e': 0.8538497819684817}",20,0,-128.53006476118068,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
159,False,"{'a': 0.2, 'e': 0.8529963589691315}",25,0,-57.72257238611973,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.2, 'e': 0.8521437889662113}",20,0,-143.31803397406156,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.2, 'e': 0.8512920711071511}",25,2,-67.3343988867697,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
162,False,"{'a': 0.2, 'e': 0.850441204540233}",20,0,-36.60653879788394,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 0.8495911884145902}",30,0,-177.08373070932626,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
164,False,"{'a': 0.2, 'e': 0.8487420218802068}",25,0,-206.33951670693133,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
165,False,"{'a': 0.2, 'e': 0.8478937040879159}",20,0,-157.72791762988513,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
166,False,"{'a': 0.2, 'e': 0.8470462341893996}",25,0,-199.8380899230681,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
167,False,"{'a': 0.2, 'e': 0.8461996113371882}",20,0,-128.29517255336114,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
